"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q1","Q7","Q8","Q82","Q80","Q81","SB_choice","Q77_1","Q77_2","Q77_3","Q77_4","NH_choice","Q76_1","Q76_2","Q76_3","Q76_4","Q53_1","Q72_1","Q72_2","Q72_3","Q72_4","Q52_1","Q73_1","Q73_2","Q73_3","Q73_4","Q31_1","Q74_1","Q74_2","Q74_3","Q74_4","Q48_1","Q75_1","Q75_2","Q75_3","Q75_4","sb_ad_den","Q66_1","Q66_2","Q66_3","Q66_4","sb_ad_car","Q67_1","Q67_2","Q67_3","Q67_4","sb_op_den","Q64_1","Q64_2","Q64_3","Q64_4","sb_op_car","Q65_1","Q65_2","Q65_3","Q65_4","nh_ad_win","Q59_1","Q59_2","Q59_3","Q59_4","nh_ad_lose","Q60_1","Q60_2","Q60_3","Q60_4","nh_op_win","Q61_1","Q61_2","Q61_3","Q61_4","nh_op_lose","Q62_1","Q62_2","Q62_3","Q62_4","control","Q63_1","Q63_2","Q63_3","Q63_4","Q54_1","Q71_1","Q71_2","Q71_3","Q71_4","Q55_1","Q70_1","Q70_2","Q70_3","Q70_4","Q57_1","Q69_1","Q69_2","Q69_3","Q69_4","Q56_1","Q68_1","Q68_2","Q68_3","Q68_4","Q36","Q11","Q37","Q78","Q79_1","Q23_1","Q35_1","Q26_1","Q27_1","Q45_1","Q58","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q38","DO-BR-FL_112","DO-BR-FL_69","DO-BR-FL_107","DO-BR-FL_88","DO-BR-FL_110","DO-BL-Importance","DO-Q-SB_choice","DO-Q-NH_choice","LocationLatitude","LocationLongitude","LocationAccuracy"
"ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","University of California at Berkeley CONSENT TO PARTICIPATE IN RESEARCH   My name is Don Moore, I...","In this survey, we are going to ask you questions about yourself, and your opinions. Please answe...","Please take a moment to give a short description of what you did yesterday. Be sure to include at...","Captcha text","Recaptcha pic","To prove to us that you're a real person (and not a bot), please enter the number 42 in the box b...","On Sunday, the Super Bowl will be played between two teams (Denver Broncos and Carolina Panthers)...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","On Tuesday, a Republican Primary Election will be held in New Hampshire, and Donald Trump is one...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that the Carolina Panthers will win the Super Bowl...-Probability Carolina wins the Super Bowl...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that the Denver Broncos will win the Super Bowl nex...-Probability Denver wins the Super Bowl...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that Donald Trump will win the New Hampshire Republ...-Probability Trump wins the Primary....","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that Donald Trump will lose the New Hampshire Repub...-Probability Trump loses the Primary...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","On a previous question you indicated that the Denver Broncos were likely to win the Super Bowl. H...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count"," On a previous question you indicated that the Carolina Panthers were likely to win the Super Bow...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count"," On a previous question you indicated that the Denver Broncos were likely to win the Super Bowl. ...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count"," On a previous question you indicated that the Carolina Panthers were likely to win the Super Bow...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","On a previous question you indicated that the Donald Trump was likely to win the New Hampshire Pr...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","On a previous question you indicated that the Donald Trump was likely to lose the New Hampshire P...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","On a previous question you indicated that the Donald Trump was likely to win the New Hampshire Pr...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","On a previous question you indicated that the Donald Trump was likely to lose the New Hampshire P...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","Please describe your most recent trip to the grocery store. Write out a description below in the...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that the Carolina Panthers will win the Super Bowl...-Probability Carolina wins the Super Bowl...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that the Denver Broncos will win the Super Bowl nex...-Probability Denver wins the Super Bowl...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that Donald Trump will win the New Hampshire Republ...-Probability Trump wins the Primary...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","What is your best estimate of the probability that Donald Trump will lose the New Hampshire Repub...-Probability Trump loses the Primary...","Timing-First Click","Timing-Last Click","Timing-Page Submit","Timing-Click Count","Please examine the picture below:",134,"How much does this person weigh (in pounds)?","There are 2.2 pounds per kilogram. ","How confident are you that your weight estimate is within 5 pounds of the actual weight?-Confidence","The Denver Broncos and the Carolina Panthers will play in the Super Bowl next week. Do you have a...-Preference","The Republican Primary in New Hampshire will take place next week. Do you have a personal prefere...-Preference","How would you best describe your political affiliation?-Political Affiliation","How important is the outcome of the Republican New Hampshire primary for you, personally?-Outcome of Republican Primary","How important is the outcome of the Super Bowl for you, personally?-Outcome of Super Bowl","The next few questions are short quiz items, to measure how much you know about politics and foot...","Who is the current Vice President of the United States?remember: answer in detail, with full name...","Who is the current Speaker of the House of Representatives?remember: answer in detail, with full...","Who won the New Hampshire Primary Election among Republicans in 2008?remember: answer in detail,...","Who won the New Hampshire Primary Election among Republicans in 2012?remember: answer in detail,...","Who is the Quarterback for the Carolina Panthers?remember: answer in detail, with full names (no...","Who is the Quarterback for the Denver Broncos?remember: answer in detail, with full names (no nic...","Who did the Denver Broncos beat in the AFC championship game to make it to the Super Bowl?remembe...","Who did the Carolina Panthers beat in the NFC championship game to make it to the Super Bowl?reme...","If you have any comments on this survey, please enter them here:","Display Order: Block Randomizer FL_112","Display Order: Block Randomizer FL_69","Display Order: Block Randomizer FL_107","Display Order: Block Randomizer FL_88","Display Order: Block Randomizer FL_110","Display Order: Importance","Display Order: On Sunday, the Super Bowl will be played between two teams (Denver Broncos and Carolina Panthers)...","Display Order: On Tuesday, a Republican Primary Election will be held in New Hampshire, and Donald Trump is one...","LocationLatitude","LocationLongitude","LocationAccuracy"
"R_1H1qtQ0wfkTdY9n","Default Response Set","Anonymous",,,"71.102.133.182",0,2/5/2016 9:40,2/5/2016 9:41,1,1,1,"Yesterday I began the day with searching mturk for hits. After finding a few I did them and then ate breakfast. The rest of the day I spent time with my family. ",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8209991455,-120.4102020264,-1
"R_ctKBMGXnq0qjxYZ","Default Response Set","Anonymous",,,"99.189.12.65",0,2/5/2016 9:40,2/5/2016 9:41,1,1,1,"I mostly slept yesterday. I woke up ate breakfast and slept for a couple of hours. Then went to some social network website and lastly slept again.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6614990234,-97.1694030762,-1
"R_2PvCv8DcT41hWav","Default Response Set","Anonymous",,,"107.213.216.165",0,2/5/2016 9:41,2/5/2016 9:41,1,1,1,"Stayed home then worked",1,1,"Morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6585998535,-80.3567962646,-1
"R_3MGp2vXjZewGJUt","Default Response Set","Anonymous",,,"24.242.201.187",0,2/5/2016 9:41,2/5/2016 9:42,1,1,1,"I went shopping and went to gas station. ",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9803924561,-94.0027008057,-1
"R_3QXzwrAj5spXOud","Default Response Set","Anonymous",,,"72.185.194.128",0,2/5/2016 9:40,2/5/2016 9:42,1,1,1,"Basically went to the mall. I relaxed for the rest of my day.",1,1,42,2,0.965,0.965,1.717,1,1,1.522,1.522,2.312,1,,,,,,78,1.184,1.184,1.813,1,79,1.099,3.536,4.246,5,,,,,,,,,,,,,,,,,,,,,,,,,,"He is really powerful. None of the other people as powerful of a speaker as him.",6.024,6.024,30.393,1,,,,,,,,,,,,,,,,,,,,,,,,,,75,1.338,1.338,1.943,1,67,1.223,1.223,2.109,1,,,,,,1,1,150,1,68,2,5,5,6,5,1,"joe biden","na","na","na","na","peyton manning","na","na","ty","SBchoice|NHchoice","FL_79|FL_70","NH_advocate","FL_89|FL_94","Factual Quiz - Football|Factual Quiz - Politics","Q27|Q45","2|1","1|2",27.7897033691,-82.728302002,-1
"R_25NtfdArTojqIPS","Default Response Set","Anonymous",,,"12.37.196.52",0,2/5/2016 9:41,2/5/2016 9:42,1,1,1,"Yesterday I woke up and made eggs and bacon for breakfast. THen I got ready for work and drove there on the highway. Around 12 pm I had pasta for lunch and continued work until 5pm. After 5 I went to a meeting downtown and went out to dinner with my wife afterward.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4167938232,-86.6800994873,-1
"R_2bITAsYG0wYu4sU","Default Response Set","Anonymous",,,"76.0.70.173",0,2/5/2016 9:40,2/5/2016 9:42,1,1,1,"In the morning I generally do a few stretching exercises.  Then I browse the internet for news.  After that I go for brunch.  If it's warm enough I work in the shop on boats or related equipment.  I fix supper around 4:30 pm.  Then I browse the internet for news and/or watch a movie.",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0043029785,-97.7543029785,-1
"R_PRSERIlFL28SGIN","Default Response Set","Anonymous",,,"108.47.206.80",0,2/5/2016 9:41,2/5/2016 9:42,1,1,1,"Yesterday I got up at approximately 6 a.m than I had breakfast of an egg sandwich. In the afternoon I used mturk for a few hours. After this I watched some tv than went to sleep in the evening. ",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.633605957,-117.0704956055,-1
"R_216VbvYcDBaNiat","Default Response Set","Anonymous",,,"67.84.175.236",0,2/5/2016 9:41,2/5/2016 9:43,1,1,1,"Yesterday was a pretty uneventful day. I woke and had breakfast, then showered. I went for a 3 hour hike, and ate lunch. After lunch, I worked for 5 hours, then ate dinner. 2 hours after dinner, I read a book and fell asleep. ",1,1,"morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5276947021,-73.9072036743,-1
