"ResponseID","argument_topic","treatment","chosen_outcome","essay",
"R_27s5OzJBCGotdb5","football","advocate","car","Carolina is undefeated this season, and they have a great team.  I think they have more talent and will beat Denver.",
"R_3s7Hxo4igUYkA8U","football","advocate","car","They have an MVP candidate quarterback and they have an amazing defense. The Broncos have an awful offense and an okay defense. Cam will pounce on them. ",
"R_2c87Rw0xeo0w26y","football","advocate","car","Cam Newton is almost unstoppable as both a passer and a rusher.  Peyton Manning's performance has been slipping.  Carolina has a great defense that can stop the run.  The Panthers really want to win their first Superbowl.",
"R_33ps9Go2PEylkJf","football","advocate","car","I really don't know much about either team.  I think historically the Panthers have had more winning games than the Broncos.  But I could be wrong about that.",
"R_1pyZ36oWOemenlx","football","advocate","car","The panthers will win because they are simply the better team. Cam Newton is more younger, faster and stronger than Peyton Manning these days.",
"R_2idGNACYunaAnAt","football","advocate","car","I think that the Panthers have a better defense line and will be able to hold off any offense from the Broncos. Further more Manning seems to be loosing seem in his arm this whole season. I dont think he will be able to hang",
"R_2xWyzqQk7maeEvi","football","advocate","car","They have been playing much better this season especially against the class that denver is in. Statistically I believe they are out-performing denver and they have it in the bag. I don't believe it will even be that close of a game.",
"R_WkuZLOhFrZXuXx7","football","advocate","car","The Carolina Panthers are the better team. I don't think the Broncos defense can stop all of the weapons the Panthers have on offense. The Panthers defense will be able to keep the Broncos offense in check also.",
"R_1djmBu8rCerAxsm","football","advocate","car","In my estimation both teams are equally skilled. The fact that they both made it to the super bowl is a testament to this fact. It is my belief that both teams have an equally likely chance of winning, although I would put my money on the Carolina Panthers as they seem to have a better overall team when looking at the previous seasons game play and statistics.",
"R_22yQIPUYO3oYNYL","football","advocate","car","Someone who watched this NFL season will note that the Panthers dominated almost every team they played this season, often winning by double digits. Carolina locked up the first seed in the NFC early due to their domination. During the playoffs, Carolina proved themselves virtually unstoppable, completely outplaying and shutting down their opponents. In addition, the Broncos have a weak running game and Peyton Manning is in the twilight of his career.",
"R_2DY2vSTcBnnjLIY","football","advocate","car","In actuality, I know very little about sports. However, I have the belief that the Carolina Panthers will win because I'm from South Carolina and feel an attachment to the team. I know that sort of abandons logic, but it's where my opinion mainly stems from.",
"R_1GK4DEQwYZOV5XZ","football","advocate","car","The Carolina Panthers are currently at 15 to 1, having lost just ONE game in the season. The Broncos, however, are at 12 to 4, having lost four. /  / While it isn't a definite, I feel the Panthers have shown they're on a role this season and it'll continue with them stomping the Broncos. ",
"R_3hyaExbN06c9WXz","football","advocate","car","The Panthers are a much more physically aggressive team than the Broncos, and they have a much more powerful offensive line. The broncos are also an ""older"" team, and Manning isn't in his prime any more. They were crushed by the Seahawks in 2013, and the Panthers could be seen as even more aggressive than them. The Broncos rely on trick plays and finesse, which doesn't help them at all against a team like Carolina. ",
"R_2VkDwoPyW0u5PTm","football","advocate","car","The Carolina Panthers are a superlative team, competent, skilled, and totally prepared to take on the Broncos. They have some of the best football players in the nation. They have consistently and effortlessly crushed their opponents in every game leading up to the SuperBowl. Given the Broncos' weak history and their struggle to even make it to the SuperBowl, there is no question that the Panthers will demolish them.",
"R_2UgufC9q1HpLOke","football","advocate","car","The Carolina Panthers has shown consistently stronger performance in both the offense and defense fronts, resulting in higher ratio of wins to losses compared to the Denver Broncos. While the Broncos has a great quarterback, the Panthers work better together as a team.",
"R_3eihtghFoBImWax","football","advocate","car","I do not believe that they are more likely to win, I believe that they have an equal chance to win. The probability being 50/50 to win or lose.",
"R_3Ge7Cj9gt2X9i2n","football","advocate","car","They are stronger players and have more confidence to win this. They also have stronger fan base that creates morale and helps them to win.",
"R_1ooQiGqNoIhOEw8","football","advocate","car","The have a better quarterback and have been a better team all year. Also, the odds makers favor them.",
